Species,StockVersion,"ProductionRegion
Number",ManagementUnitNumber,RRTerm_PR,"RRTerm
_PR_MU",StockID,StockLongName,StockName,StkGroup,MZGroup,StkLabel,TYPE,PR_Alpha,NatManagementObj
COHO,1,6,11,6,6,117,West JDF Miscellaneous Wild UnMarked,U-wjdfmw,59,14,West JDF Miscellaneous Wild,Wild,F,Strait of Juan de Fuca
COHO,1,6,12,6,6,118,West JDF Miscellaneous Wild Marked,M-wjdfmw,59,14,West JDF Miscellaneous Wild,Wild,F,Strait of Juan de Fuca
COHO,1,6,13,6,7,119,Port Angeles Net Pens UnMarked,U-ptangh,60,,Port Angeles Net Pens,Hatchery,F,
COHO,1,6,14,6,7,120,Port Angeles Net Pens Marked,M-ptangh,60,,Port Angeles Net Pens,Hatchery,F,
COHO,1,6,15,6,8,121,Area 9 Miscellaneous Wild UnMarked,U-area9w,61,,Area 9 Miscellaneous Wild,Wild,F,
COHO,1,6,16,6,8,122,Area 9 Miscellaneous Wild Marked,M-area9w,61,,Area 9 Miscellaneous Wild,Wild,F,
COHO,1,7,1,7,1,123,Makah Coastal Wild UnMarked,U-makahw,62,23,Makah Coastal Wild,Wild,G,
COHO,1,7,2,7,1,124,Makah Coastal Wild Marked,M-makahw,62,23,Makah Coastal Wild,Wild,G,
COHO,1,7,3,7,2,125,Makah Coastal Hatchery UnMarked,U-makahh,63,,Makah Coastal Hatchery,Hatchery,G,
COHO,1,7,4,7,2,126,Makah Coastal Hatchery Marked,M-makahh,63,,Makah Coastal Hatchery,Hatchery,G,
COHO,1,8,1,8,1,127,Quillayute River Summer Natural UnMarked,U-quilsw,64,15,Quillayute River Summer Natural,Wild,H,
COHO,1,8,2,8,1,128,Quillayute River Summer Natural Marked,M-quilsw,64,15,Quillayute River Summer Natural,Wild,H,
COHO,1,8,3,8,2,129,Quillayute River Summer Hatchery UnMarked,U-quilsh,65,,Quillayute River Summer Hatchery,Hatchery,H,
COHO,1,8,4,8,2,130,Quillayute River Summer Hatchery Marked,M-quilsh,65,,Quillayute River Summer Hatchery,Hatchery,H,
COHO,1,8,5,8,3,131,Quillayute River Fall Natural UnMarked,U-quilfw,66,15,Quillayute River Fall Natural,Wild,H,Quillayute River Fall
COHO,1,8,6,8,3,132,Quillayute River Fall Natural Marked,M-quilfw,66,15,Quillayute River Fall Natural,Wild,H,Quillayute River Fall
